"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover";"price_currency";"turnover_currency"
"XLJU";"PETG";"SI0031102153";"2018-10-17";"CT";330,00;330,00;323,00;325,00;325,31978798587;-1,52;23;566,00000;184131,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-16";"CT";333,00;333,00;330,00;330,00;330,72777777778;-1,20;12;180,00000;59531,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-15";"CT";330,00;334,00;330,00;334,00;332,26086956522;-0,30;7;69,00000;22926,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-12";"CT";329,00;335,00;329,00;335,00;334,03846153846;0,60;5;130,00000;43425,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-11";"CT";330,00;341,00;328,00;333,00;333,95070422535;0,60;29;568,00000;189684,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-11";"BLOCK";;331,00;331,00;331,00;331,00000000000;;1;900,00000;297900,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-10";"CT";334,00;334,00;331,00;331,00;332,50000000000;-1,19;4;24,00000;7980,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-09";"CT";335,00;337,00;335,00;335,00;335,58730158730;-0,59;13;63,00000;21142,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-08";"CT";339,00;339,00;335,00;337,00;336,88405797101;-0,59;7;69,00000;23245,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-05";"CT";336,00;339,00;333,00;339,00;336,50000000000;0,00;10;48,00000;16152,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-04";"CT";337,00;339,00;337,00;339,00;337,15384615385;-0,29;2;65,00000;21915,00;"EUR";"EUR"
